name,bugs,security_hotspots,code_smells,complexity,duplicated_lines,debt
p0,17,2,448,596,3.4,4062
p1,16,6,320,607,0.0,3347
p2,6,4,340,360,8.2,3177
p3,15,5,318,434,0.0,3034
p4,13,0,328,393,4.6,3039
p5,0,2,345,294,10.6,3568
p6,25,4,337,623,4.2,3548
p7,33,1,344,387,3.9,2901
p8,11,2,295,537,5.4,2916
p9,19,7,663,992,5.7,6891
p10,19,4,464,447,1.2,4866
p11,27,11,377,704,2.8,3423
p12,21,1,446,532,12.2,4404
p13,10,5,201,169,20.8,1810
p14,24,10,664,733,6.6,7121
p15,9,1,252,413,2.8,2442
p16,21,0,448,748,7.3,4815
p17,21,10,489,437,6.8,4112
p18,16,0,556,811,10.3,5702
p19,16,1,296,531,7.1,3955
p20,6,0,204,374,3.8,1488
p21,9,0,243,274,4.8,2620
p22,13,1,456,546,12.0,5078
p23,25,5,751,832,6.2,8170
p24,27,6,360,600,8.3,3777
p25,29,1,317,608,0.9,3535
p26,18,8,275,385,1.4,2268
p27,18,7,503,587,0.6,4475
p28,29,1,298,619,3.5,3163
p29,7,0,254,373,1.4,2701
p30,20,8,325,500,11.1,2792
p31,9,4,376,1004,20.0,6109
p32,19,19,392,552,2.2,3670
p33,16,6,240,482,4.7,2598
p34,21,5,399,669,2.8,3968
p35,17,0,260,361,0.0,2371
p36,22,3,269,479,4.8,2442
p37,28,9,567,708,4.2,6048
p39,74,21,513,523,10.2,4694
p40,15,2,212,712,13.8,2499
p41,27,0,284,354,3.5,2790
p42,22,11,384,526,5.6,3895
p43,15,14,389,739,11.1,4143
p44,12,1,257,419,5.0,2275
p45,8,6,253,697,7.7,2606
p46,18,10,190,564,2.8,1404
p47,28,13,280,599,8.1,2645
p48,19,4,428,689,3.5,4250
p49,11,4,320,563,8.6,3463
p50,4,12,176,608,5.1,1855
p51,14,1,187,519,1.2,1636
p52,40,0,536,654,2.6,5297
p53,13,2,406,723,0.0,3791
p54,4,0,399,782,3.5,4550
p55,20,7,284,523,2.8,2977
p56,15,9,551,686,1.5,5583
p57,16,5,204,781,0.0,2059
p58,19,1,213,544,5.5,2245
p59,16,12,233,591,0.9,2572
p60,7,3,220,503,2.6,2666
p61,23,8,306,763,3.7,3145
p63,15,6,171,449,0.0,1777
p64,60,13,394,543,3.8,3947
p65,6,4,261,599,2.3,2890
p66,31,5,438,696,6.3,5298
p67,8,7,151,596,1.5,2114
p68,42,18,699,830,4.6,6125
p69,9,4,525,607,4.1,5689
p70,16,6,344,740,4.9,3521
p71,17,13,305,754,1.7,3551
p72,19,19,392,552,2.2,3670
p73,16,3,360,867,3.6,2922
p74,39,13,499,1033,1.1,4770
p76,21,7,264,850,0.0,2711
p77,32,14,303,892,2.4,4029
p78,30,2,606,1158,15.7,7317
p79,15,2,322,664,3.0,3929
p81,17,12,428,742,4.0,3798
p82,21,28,268,593,8.5,3672
p83,30,16,816,880,5.2,7662
p84,15,22,254,719,2.8,2319
p85,20,26,246,678,3.0,2780
p86,14,123,300,678,6.3,3796
p87,15,4,349,703,4.7,2825
p88,18,5,154,421,4.7,1349
p89,9,9,706,1091,12.0,7031
p90,31,3,233,755,9.2,2889
p91,17,8,404,664,16.2,2481
p92,28,5,640,674,8.1,6418
p93,12,9,205,803,5.7,2698
p94,5,7,336,411,3.8,2527
p95,17,7,196,937,1.6,2229
p96,3,3,205,178,4.8,1880
p97,8,2,319,723,0.6,3098
p98,3,6,666,591,7.6,5470
