Number roads affected,Number of incidents
25,14
22,10
43,17
24,7
69,31
227,104
781,797
367,484
162,154
145,131
268,164
210,192
269,199
215,174
278,247
332,402
469,469
151,233
114,75
82,51
97,52
68,33
29,25
42,16
19,11
22,9
17,6
25,10
46,38
234,124
803,861
440,484
168,125
153,130
185,145
260,215
263,254
289,207
239,218
379,365
324,389
174,185
53,55
69,47
83,50
33,26
30,16
41,23
33,15
17,8
14,8
45,18
60,26
264,150
987,1001
379,461
153,142
161,143
211,162
189,160
228,213
249,206
413,328
535,504
335,448
185,245
90,89
63,49
91,48
60,32
31,19
42,20
50,20
23,9
40,14
30,14
70,40
327,189
1411,1252
475,597
168,169
221,192
242,201
274,259
349,304
527,389
475,498
562,704
434,621
199,318
89,102
66,62
67,42
75,53
72,39
48,28
77,32
55,22
71,25
43,19
50,19
148,44
99,51
168,108
303,203
150,146
127,125
64,63
63,51
141,102
109,142
71,82
98,69
44,51
57,56
45,36
53,37
43,37
31,23
6,7
