Model name,Number of LSTMs,Number of GRUs,Number of Convs,Number of Denses,Fitness,RMSE,MAE,Execution time
LSTM_3,5,0,0,5,0.19702,0.21519,0.1425,350.68857
LSTM_8,6,0,0,4,0.26828,0.28498,0.21818,376.89759
LSTM_9,5,0,0,5,0.29606,0.31493,0.23946,357.22469
LSTM_4,5,0,0,3,0.3033,0.32305,0.24405,316.11954
LSTM_1,4,0,0,4,0.3217,0.33485,0.28224,220.98291
LSTM_2,2,0,0,2,0.3524,0.38506,0.2544,134.19236
LSTM_7,4,0,0,3,0.36199,0.3851,0.29265,136.90095
LSTM_0,6,0,0,1,0.40991,0.42199,0.37366,214.38195
LSTM_6,2,0,0,4,0.55207,0.58282,0.45983,147.51631
LSTM_5,5,0,0,4,0.72939,0.75866,0.64159,278.30126
